case_number,latitude,longitude,cluster
JK235942,41.874905,-87.694565,7
JK235565,41.92729,-87.704506,2
JK235187,41.895733,-87.68778,7
JK235188,41.77694,-87.67384,1
JK235186,41.98088,-87.65511,2
JK235191,41.86615,-87.72681,7
JK235180,41.730556,-87.588,0
JK235177,41.75649,-87.56632,0
JK235364,41.831844,-87.66676,5
JK235179,41.769043,-87.57149,0
JK235178,41.718822,-87.64314,4
JK235170,41.878426,-87.758644,7
JK240097,41.87165,-87.66503,5
JK235160,41.884777,-87.752785,7
JK237983,41.731544,-87.65443,4
JK236424,41.926483,-87.76851,3
JK235318,41.9088,-87.72163,7
JK235181,41.767807,-87.68577,1
JK236887,41.763237,-87.5598,0
JK235301,41.863003,-87.650925,5
JK235162,41.86854,-87.63924,5
JK235163,41.89569,-87.6273,5
JK235166,41.87516,-87.66773,5
JK235185,41.81996,-87.70057,1
JK235152,41.7933,-87.664566,1
JK235156,41.721264,-87.65873,4
JK235168,41.78304,-87.60725,6
JK235161,41.844074,-87.62844,5
JK235381,41.908806,-87.72285,7
JK235171,41.731903,-87.59046,0
JK235423,41.89777,-87.71517,7
JK235148,41.910725,-87.678,2
JK235150,41.974438,-87.81119,3
JK235920,41.93742,-87.73294,3
JK235773,41.747684,-87.59993,0
JK235366,41.736446,-87.558334,0
JK236676,41.959354,-87.70981,2
JK235919,41.769833,-87.66638,1
JK235376,41.787384,-87.691185,1
JK236921,41.878193,-87.68878,7
JK235307,41.68828,-87.61815,4
JK238428,41.86132,-87.704216,7
JK237769,41.769924,-87.63727,6
JK244103,41.986427,-87.6567,2
JK237829,41.969326,-87.65482,2
JK237164,41.888165,-87.62294,5
JK235199,41.73853,-87.601,0
JK235135,41.728836,-87.60464,0
JK235151,41.740192,-87.66804,4
JK235159,41.967796,-87.65621,2
JK235657,41.926113,-87.669395,2
JK235290,41.89643,-87.715126,7
JK235128,41.78249,-87.65828,6
JK235121,41.744762,-87.5437,0
JK235137,41.716953,-87.65603,4
JK235141,41.774334,-87.607056,6
JK239246,41.839466,-87.62324,5
JK235155,41.90317,-87.678345,5
JK235172,41.901855,-87.699326,7
JK235110,41.749744,-87.652504,4
JK235113,41.803947,-87.674576,1
JK235106,41.75313,-87.65703,4
JK235107,41.92245,-87.63221,5
JK236319,41.93084,-87.6964,2
JK235613,41.714363,-87.61759,4
JK236043,41.872192,-87.63104,5
JK235416,41.734806,-87.6063,0
JK235134,41.71311,-87.63087,4
JK235158,41.80803,-87.68442,1
JK235278,41.67973,-87.63267,4
JK235646,41.73294,-87.60863,0
JK235370,41.85845,-87.70666,7
JK235142,41.76348,-87.56647,0
JK235092,41.898254,-87.71109,7
JK235104,41.76418,-87.66501,1
JK235102,41.81235,-87.62617,6
JK235086,41.997227,-87.65844,2
JK235446,41.86644,-87.70235,7
JK235372,41.76807,-87.616936,6
JK242972,41.707016,-87.537704,0
JK235374,41.898006,-87.726166,7
JK235136,41.773144,-87.634865,6
JK235404,41.942257,-87.66995,2
JK235234,41.929855,-87.73524,3
JK235143,41.910564,-87.72636,7
JK235298,41.73612,-87.57691,0
JK235085,41.98562,-87.70167,2
JK235182,41.763885,-87.66622,1
JK235202,41.76923,-87.569855,0
JK235132,41.76923,-87.569855,0
JK235090,41.746693,-87.66495,4
JK235100,41.86549,-87.772026,7
JK235075,41.844505,-87.705864,7
JK235084,41.775196,-87.648315,6
JK235068,41.713825,-87.53528,0
JK235628,41.76883,-87.61856,6
JK235588,41.69865,-87.53528,0
JK235337,41.70229,-87.66912,4
JK236081,41.854984,-87.67164,5
JK235277,41.715855,-87.61762,4
JK235603,41.899845,-87.72256,7
JK235375,41.876274,-87.67176,5
JK235472,41.892437,-87.71256,7
JK237302,41.922768,-87.71755,7
JK235219,41.99884,-87.66676,2
JK235542,41.883106,-87.77189,7
JK235098,41.844063,-87.705025,7
JK235316,41.732384,-87.602165,0
JK235758,41.984623,-87.83658,3
JK235154,41.738396,-87.55267,0
JK235476,41.950653,-87.66815,2
JK235062,41.872784,-87.726166,7
JK235079,41.768417,-87.61291,6
JK235081,41.70386,-87.66894,4
JK235071,41.895424,-87.72035,7
JK235756,41.89567,-87.62882,5
JK235065,41.987206,-87.72855,3
JK235444,41.83555,-87.66685,5
JK235401,41.72141,-87.64727,4
JK235124,41.858086,-87.722435,7
JK235049,41.77336,-87.6407,6
JK235077,41.854065,-87.634415,5
JK235481,41.899475,-87.72621,7
JK235041,41.74498,-87.657555,4
JK235038,41.798,-87.677315,1
JK235037,41.750187,-87.64403,4
JK235046,41.750782,-87.62582,6
JK235486,41.833214,-87.66895,5
JK235413,41.673325,-87.634544,4
JK235382,41.73351,-87.604744,0
JK235263,41.754955,-87.56266,0
JK235117,41.82132,-87.62478,6
JK235832,41.792683,-87.7305,1
JK235465,41.87199,-87.69431,7
JK235325,41.687294,-87.68961,4
JK235253,41.862537,-87.65219,5
JK235784,41.899532,-87.67819,5
JK235543,41.836502,-87.66766,5
JK235528,41.990623,-87.747116,3
JK235794,41.908764,-87.72163,7
JK235880,41.845287,-87.62212,5
JK235433,41.87304,-87.73276,7
JK235026,41.925358,-87.71078,2
JK235054,41.96777,-87.66942,2
JK235020,41.872627,-87.72674,7
JK235040,41.855576,-87.71189,7
JK236374,41.88756,-87.61749,5
JK235053,41.8879,-87.6369,5
JK235029,41.888657,-87.74917,7
JK235024,41.852882,-87.63553,5
JK235033,41.79175,-87.58014,6
JK235044,41.747814,-87.54919,0
JK238706,41.908295,-87.68229,2
JK235096,41.782093,-87.659424,6
JK235047,41.74423,-87.64385,4
JK235030,41.894157,-87.673225,5
JK235048,41.954067,-87.75594,3
JK235022,41.78245,-87.672775,1
JK235014,41.73966,-87.646935,4
JK235034,41.692486,-87.63158,4
JK234993,41.851074,-87.70645,7
JK234991,41.77518,-87.66657,1
JK235866,41.87886,-87.72622,7
JK235538,41.706486,-87.61497,4
JK235025,41.96243,-87.76088,3
JK235165,41.762173,-87.57621,0
JK237136,41.91906,-87.78653,3
JK236119,41.729275,-87.54848,0
JK236101,41.766197,-87.64687,6
JK235255,41.95454,-87.667534,2
JK235042,41.78427,-87.67282,1
JK236301,41.889984,-87.65776,5
JK236180,41.848804,-87.718575,7
JK235017,41.685387,-87.61646,4
JK236029,41.89248,-87.66314,5
JK235005,41.908432,-87.63851,5
JK237066,41.858017,-87.651764,5
JK234984,41.880512,-87.74414,7
JK234972,41.750492,-87.654305,4
JK234986,41.79857,-87.74353,1
JK234989,41.939316,-87.74688,3
JK234947,41.792755,-87.666985,1
JK234967,41.859837,-87.70297,7
JK235368,41.933582,-87.645515,2
JK234983,41.69017,-87.63506,4
JK235548,41.72159,-87.63364,4
JK235101,41.94663,-87.708336,2
JK236059,41.914093,-87.719124,7
JK234990,41.699337,-87.6172,4
JK234976,41.938835,-87.74607,3
JK234964,41.66885,-87.62929,4
JK236154,41.90481,-87.75584,3
JK234969,41.79949,-87.5935,6
JK234948,41.77122,-87.67007,1
JK235438,41.9224,-87.74784,3
JK236633,41.77943,-87.66595,1
JK241767,41.966393,-87.65354,2
JK235289,41.726364,-87.55566,0
JK238253,41.824753,-87.62163,6
JK235089,41.83089,-87.635506,6
JK235252,41.89004,-87.686676,7
JK234913,41.903725,-87.73372,7
JK234928,41.93827,-87.71245,2
JK234926,41.777378,-87.797264,1
