case_number,latitude,longitude,cluster
JK225827,41.750313,-87.61127,7
JK215543,41.884533,-87.738495,4
JK206536,41.765488,-87.57629,7
JK170305,41.896133,-87.62549,2
JK158298,41.849155,-87.70883,4
JK180448,41.762318,-87.59762,7
JK202912,41.75842,-87.55497,7
JK161264,41.84344,-87.71476,4
JK160492,41.793262,-87.6427,3
JK198702,41.88473,-87.755226,0
JK202873,41.76331,-87.58754,7
JK145338,41.756504,-87.55751,7
JK196288,41.931213,-87.67689,1
JK157391,41.75028,-87.72032,3
JK198693,41.79733,-87.7519,3
JK151566,41.837967,-87.6171,2
JK204710,41.664734,-87.63183,6
JK159869,41.79576,-87.590355,5
JK152320,41.906277,-87.67001,1
JK205935,41.72654,-87.62233,6
JK205895,41.786243,-87.72786,3
JK202376,41.928375,-87.68228,1
JK171463,41.767838,-87.66511,5
JK174461,41.865383,-87.71783,4
JK179992,41.754593,-87.74153,3
JK202780,41.952576,-87.66116,1
JK216845,41.772705,-87.57403,7
JK179720,41.761127,-87.62807,5
JK199470,41.76301,-87.55957,7
JK236039,41.889416,-87.631065,2
JK185127,41.936424,-87.685555,1
JK176960,41.939224,-87.716606,0
JK148185,41.691788,-87.67972,6
JK202938,41.909664,-87.74273,0
JK202906,41.787514,-87.70461,3
JK214010,41.979984,-87.7702,0
JK213505,41.90365,-87.6474,2
JK238221,41.68042,-87.66244,6
JK209536,41.664413,-87.62822,6
JK210389,41.89365,-87.75929,0
JK158566,41.87425,-87.62921,2
JK175967,41.777676,-87.74227,3
JK179101,41.76874,-87.71626,3
JK210243,41.890648,-87.71861,0
JK177061,41.653587,-87.61854,6
JK145706,41.847553,-87.702675,4
JK233669,41.91677,-87.70526,0
JK168853,41.820103,-87.69276,3
JK148887,41.89919,-87.62565,2
JK148591,41.89195,-87.62966,2
JK168218,41.928513,-87.69182,1
JK174915,41.75581,-87.60287,5
JK230467,41.883045,-87.68285,4
JK185150,41.80204,-87.620346,5
JK225944,41.721195,-87.664024,6
JK204365,41.79519,-87.588005,5
JK227973,41.898,-87.73234,0
JK233209,41.869526,-87.725296,4
JK225577,41.746,-87.55036,7
JK183706,41.960102,-87.637474,1
JK185221,41.884964,-87.64979,4
JK233331,41.820255,-87.60039,2
JK214927,41.9005,-87.63772,2
JK171238,41.867428,-87.62627,2
JK233692,41.92639,-87.70303,0
JK158900,41.810802,-87.60392,5
JK212009,41.887684,-87.7749,0
JK200862,41.802063,-87.61864,5
JK224449,41.88193,-87.702194,4
JK187815,41.733383,-87.631874,6
JK214454,41.964382,-87.881134,0
JK182582,41.945866,-87.767914,0
JK169265,41.883205,-87.63335,2
JK205114,41.866302,-87.714264,4
JK221030,41.758587,-87.60508,5
JK163548,41.963467,-87.7413,0
JK173439,41.905373,-87.65975,1
JK215130,41.82388,-87.61345,2
JK204297,41.750843,-87.58947,7
JK152048,41.88322,-87.62592,2
JK192275,41.76329,-87.59006,7
JK201860,41.863377,-87.656456,4
JK230057,41.89445,-87.7114,0
JK152156,41.788734,-87.73757,3
JK200333,41.867188,-87.71647,4
JK204047,41.845036,-87.63549,2
JK165827,41.90993,-87.772736,0
JK172322,41.879875,-87.6848,4
JK183905,41.95362,-87.73041,0
JK151891,41.726322,-87.63216,6
JK223915,41.794174,-87.703575,3
JK141334,41.955112,-87.67758,1
JK153722,41.87661,-87.62765,2
JK158745,41.968464,-87.70768,1
JK227941,41.7421,-87.543,7
JK227830,41.88461,-87.73188,4
JK167880,41.86697,-87.65844,4
JK204761,41.869446,-87.74486,4
JK168804,41.906597,-87.65983,1
JK174515,41.90394,-87.72633,0
JK203281,41.910675,-87.649185,1
JK184803,41.771515,-87.58521,7
JK236138,41.91141,-87.74979,0
JK150365,41.7897,-87.687584,3
JK226528,41.881016,-87.70243,4
JK208573,41.93543,-87.7834,0
JK174206,41.961872,-87.64814,1
JK193715,41.69751,-87.61106,6
JK171155,41.7887,-87.60496,5
JK220434,41.860153,-87.73111,4
