tSNE1,tSNE2
-64.97664,-7.044928
-49.253223,17.323608
56.166836,-36.897404
24.493706,14.038647
63.64393,-40.470062
-30.597832,-60.151375
-5.591281,38.04865
-39.86891,-8.0896225
31.088068,-30.303833
9.944116,40.33632
59.142708,-35.471073
-44.662693,-5.2220144
-13.11484,-10.811797
67.34391,-4.0886984
-8.775294,-10.735034
-48.05616,5.7433033
-52.059776,-7.013168
-51.9642,31.445065
-37.582943,-2.2975383
49.081093,-51.167538
-37.277313,-49.499393
43.407475,-47.725418
66.171036,-14.601057
-36.178986,-51.483246
67.6385,6.2153745
10.638204,62.080032
58.276825,-45.98011
-23.72642,-0.8580143
6.6159873,45.852924
11.66847,-53.559338
-34.28795,-29.040035
-21.718628,-58.49967
37.31233,35.93028
-35.48357,-38.773514
49.874653,-39.525826
-35.893112,12.724688
37.44849,2.1432164
12.543832,0.4567658
-54.413483,15.835069
-37.462944,-48.84896
45.33466,4.2967997
-29.412731,-55.682667
-17.058952,46.23073
4.8056593,45.9859
54.430763,-53.95397
-2.201491,-21.345297
50.374332,-38.21054
2.3741117,6.773974
43.12249,1.9726385
-23.910915,-35.226795
-49.513744,-2.2886293
-27.123316,-34.20474
68.19284,-5.3775363
1.0435423,11.14444
-14.686501,33.99561
-20.365334,6.984451
14.61231,68.36664
-19.425413,-13.9265585
-41.369358,-0.6388305
-13.583819,-25.75853
-17.181005,-25.791763
74.42669,3.6612954
-18.207335,39.997097
80.629265,-9.3270035
-39.709003,26.095726
-41.76076,30.074121
58.92901,-49.511013
-72.97967,1.4678705
-32.72469,-44.50632
4.834288,70.32497
77.20004,5.371034
48.02616,-1.0291507
-22.72669,60.47322
-11.184692,-47.10635
52.027374,-30.0968
-66.75583,19.58687
16.200241,-54.91464
55.0596,-49.245785
67.5952,-4.887458
26.013409,29.89999
-65.25925,-6.471523
43.354782,-47.770885
79.459404,-6.999318
-23.796356,54.477596
-6.1809883,16.904165
54.86398,-39.019836
-44.359074,33.786507
14.595503,50.535774
-10.916559,73.71212
25.58984,-14.226116
-56.16778,-14.757307
-14.79842,55.643623
30.225536,23.360695
-13.92068,31.11128
-61.48103,17.529715
25.315905,26.53266
10.333958,-7.303835
0.48906904,49.44317
-39.343002,-3.8812041
-70.661156,10.566605
16.141129,-58.83968
-36.09285,-42.0568
-47.528175,-49.60117
-61.83423,10.088808
5.9324336,61.34362
-48.482212,-9.922202
12.545632,-66.82828
-57.005924,5.774615
25.309439,-57.139557
-4.8906255,62.46233
-15.776094,-48.886284
77.17195,-3.5917122
13.765713,-3.216416
-66.189804,-12.325671
79.78281,-14.062635
-15.378261,-39.390884
-39.918964,-38.132904
9.790427,71.574776
22.158314,27.623953
-3.511034,42.274555
5.413055,18.710232
-3.452377,-24.530802
45.593052,3.9842362
11.282238,-57.162727
-40.019753,-5.4690213
14.167362,50.084076
38.456703,37.353477
-29.296268,-54.649433
-7.7869635,-5.539315
-46.170498,-6.5795045
70.422005,0.904928
54.467693,-40.426144
44.260098,5.866235
64.33939,5.267567
6.9902654,45.167957
32.95954,14.051614
-20.724957,59.294994
-2.8676863,3.3092165
8.5046015,-56.941093
-56.880863,22.503048
-32.048904,-50.783318
78.92295,0.7694452
-20.673319,52.407497
32.89508,-20.550854
39.33381,24.910921
8.157325,67.92368
-21.35568,-57.651917
21.837252,-65.29132
18.04043,61.99437
7.8767147,41.69644
-10.304999,68.433754
-0.6918056,21.22031
18.884806,-56.56648
-24.504618,56.01134
8.405187,42.411903
-43.64446,2.4580934
6.252732,-53.605385
-60.655865,19.534573
-10.892126,18.639109
38.481033,-16.436567
75.27391,7.491823
29.726036,31.201797
19.135334,-60.247467
-33.505646,-36.354404
-21.256847,-34.011852
-5.7001324,70.90149
56.319958,-28.64356
-2.8356957,49.807144
58.022655,-49.97586
66.08998,-0.11279027
55.58376,-52.241592
33.48967,-16.291998
18.874523,-23.73768
23.905237,24.406784
-53.30868,16.048464
-8.23261,-6.041029
-71.578186,14.274488
-41.097908,-3.6799433
-5.5041623,-2.8072884
-46.76888,19.29828
